round_number,driver,team,engine_supplier,season_avg_finish_pos,season_avg_quali_pos,last3_avg_finish,last3_avg_quali,season_points,championship_position,team_championship_position,team_points,team_avg_finish_pos,team_avg_quali_pos,track_avg_finish_pos,track_avg_quali_pos,track_wins,track_podiums,driver_mechanical_dnf_rate,team_mechanical_dnfs_this_season,engine_manufacturer_mechanical_dnfs_this_season,fp1_gap_to_fastest,fp2_gap_to_fastest,fp3_gap_to_fastest,race_or_sprint,sprint_quali_gap,sprint_finish_pos,quali_gap_to_pole,race_winner
1,63,1,1,10,10,10,10,0,1,1,0,22,22,8,6.5,1,3,0,0,0,1.104,0.32,0,0,0,0,0,1
1,12,1,1,10,10,10,10,0,1,1,0,22,22,3,9,0,1,0,0,0,1.109,0.214,1.271,0,0,0,0.293,0
1,16,2,2,10,10,10,10,0,1,1,0,22,22,5.33,6.57,1,3,0,0,0,0,0.562,0.774,0,0,0,0.809,0
1,44,2,2,10,10,10,10,0,1,1,0,22,22,3.27,4.44,2,10,0,0,0,0.469,0.321,0.616,0,0,0,0.96,0
1,1,3,1,10,10,10,10,0,1,1,0,22,22,5.33,5.83,1,2,0,0,0,4.124,1.065,1.39,0,0,0,0.957,0
1,81,3,1,10,10,10,10,0,1,1,0,22,22,7,7,0,0,0,0,0,1.046,0,1.034,0,0,0,0.862,0
1,3,4,3,10,10,10,10,0,1,1,0,22,22,4.71,5.6,1,3,0,0,0,0.522,0.637,1.144,0,0,0,41.481,0
1,6,4,3,10,10,10,10,0,1,1,0,22,22,7,20,0,0,0,0,0,0.82,1.212,1.084,0,0,0,0.785,0
2,63,1,1,1,1,1,1,25,1,1,43,1.5,1.5,6.75,7.25,0,1,0,0,2,0,0,0,1,0,1,0.222,0
2,12,1,1,2,2,2,2,18,2,1,43,1.5,1.5,3.5,4.5,0,0,0,0,2,0.12,0,0,1,0.289,5,0,1
2,16,2,2,3,4,3,4,15,3,2,27,3.5,5.5,8,7.8,0,0,0,0,1,0.858,0,0,1,1.008,2,0.364,0
2,44,2,2,4,7,4,7,12,4,2,27,3.5,5.5,3.07,5.31,6,10,0,0,1,1.388,0,0,1,0.641,3,0.315,0
2,1,3,1,5,6,5,6,10,5,3,10,13,5.5,7.33,7,0,2,0,1,2,0.555,0,0,1,0.621,4,0.544,0
2,81,3,1,21,5,21,5,0,21,3,10,13,5.5,4.5,3.67,1,1,1,1,2,0.731,0,0,1,0.704,6,0.486,0
2,3,4,3,6,20,6,20,8,6,4,8,13,11.5,6,7.63,1,2,0,0,1,1.8,0,0,1,1.734,9,0.938,0
2,6,4,3,20,3,20,3,0,14,4,8,13,11.5,9.5,8,0,0,1,1,1,2.115,0,0,1,2.203,15,1.288,0
3,63,1,1,1.5,1.5,1.5,1.5,43,1,1,86,1.5,1.5,7.83,8.33,0,0,0,0,5,0,0.205,0.254,0,0,0,0.298,0
3,12,1,1,1.5,1.5,1.5,1.5,43,2,1,86,1.5,1.5,3.5,3.5,0,0,0,0,5,0.026,0.092,0,0,0,0,0,1
3,16,2,2,3.5,4,3.5,4,34,3,2,61,3.5,4.5,4,4.86,0,2,0,0,1,0.289,0.713,0.867,0,0,0,0.627,0
3,44,2,2,3.5,5,3.5,5,27,4,2,61,3.5,4.5,4,4.5,5,7,0,0,1,0.374,0.847,1.021,0,0,0,0.789,0
3,1,3,1,12.5,6,12.5,6,15,5,3,18,16.25,5.5,5.83,5.17,0,2,1,3,5,0.132,0.516,1.238,0,0,0,0.631,0
3,81,3,1,20,5,20,5,3,20,3,18,16.25,5.5,4,3.5,0,3,2,3,5,0.199,0,1.002,0,0,0,0.354,0
3,3,4,3,11,14,11,14,8,10,4,12,12.5,10,3.11,4.7,4,7,1,2,2,0.791,1.376,1.548,0,0,0,1.484,0
3,6,4,3,14,6,14,6,4,12,4,12,12.5,10,10,7.5,0,0,1,2,2,1.137,1.626,1.732,0,0,0,1.2,0
4,63,1,1,2.333333333,1.666666667,2.333333333,1.666666667,55,2,1,123,1.833333333,1.5,4.8,7,0,1,0,0,5,0.79,0,0,1,0.624,4,0.399,0
4,12,1,1,1.333333333,1.333333333,1.333333333,1.333333333,68,1,1,123,1.833333333,1.5,3.5,1.5,0,0,0,0,5,0.769,0,0,1,0.222,6,0,1
4,16,2,2,3.333333333,4,3.333333333,4,49,3,2,84,3.833333333,4.666666667,5.4,4.2,0,2,0,0,1,0,0,0,1,0.37,3,0.345,0
4,44,2,2,4.333333333,5.333333333,4.333333333,5.333333333,35,4,2,84,3.833333333,4.666666667,6.4,9,0,0,0,0,1,0.467,0,0,1,0.749,7,0.521,0
4,1,3,1,10,5.666666667,10,5.666666667,25,5,3,46,12,5,5.5,7,1,3,1,3,5,0.898,0,0,1,0,1,0.385,0
4,81,3,1,14,4.333333333,14,4.333333333,21,20,3,46,12,5,9,9,1,2,2,3,5,0.448,0,0,1,0.239,2,0.702,0
4,3,4,3,10,13,10,13,12,9,4,16,11.66666667,9.833333333,2.6,3.2,2,3,1,2,2,0.297,0,0,1,0.592,5,0.166,0
4,6,4,3,13.33333333,6.666666667,13.33333333,6.666666667,4,14,4,16,11.66666667,9.833333333,11,16.5,0,0,1,2,2,1.563,0,0,1,1.553,9,59.99,0
5,63,1,1,2.75,2.5,3.333333333,3,67,2,1,167,2,1.875,6,5.5,1,2,0,0,6,0.142,0,0,1,0,1,0,0
5,12,1,1,1.25,1.25,1,1,100,1,1,167,2,1.875,2,3,0,1,0,0,6,0,0,0,1,0.068,3,0.068,1
5,16,2,2,4.5,3.75,5,3.666666667,59,3,2,110,4.625,4.625,5.17,10.29,0,1,0,0,1,0.953,0,0,1,0.445,5,0.398,0
5,44,2,2,4.75,5.5,5,5,51,4,2,110,4.625,4.625,2.36,2.76,7,9,0,0,1,0.774,0,0,1,0.361,6,0.29,0
5,1,3,1,8,5.25,9,5,51,5,3,94,9.625,5.125,12,7,0,1,1,3,6,1.397,0,0,1,0.315,2,0.151,0
5,81,3,1,11.25,5,8,5,43,6,3,94,9.625,5.125,7.75,4.75,0,0,2,3,6,1.561,0,0,1,0.334,4,0.203,0
5,3,4,3,8.75,10.25,9.666666667,7,22,7,4,26,12.125,10.375,3.89,5.3,3,6,1,3,3,0.964,0,0,1,0.539,7,0.329,0
5,6,4,3,15.5,10.5,14,13,4,14,4,26,12.125,10.375,10.5,9.5,0,0,2,3,3,2.851,0,0,,0.64,21,0.357,0
6,63,1,1,6,2.2,9,2.666666667,88,2,1,219,3.6,1.8,9.57,10.43,0,0,1,1,9,1.005,0.379,0.763,0,0,0,0.394,0
6,12,1,1,1.2,1.4,1,1.333333333,131,1,1,219,3.6,1.8,9.5,8,0,0,0,1,9,0.559,0.503,0,0,0,0,0,1
6,16,2,2,4.4,4.6,5,5,75,3,2,147,4.3,5,6.2,5.5,1,2,0,0,2,0,0.111,0.327,0,0,0,0.3,0
6,44,2,2,4.2,5.4,4.666666667,5.666666667,72,4,2,147,4.3,5,4.47,5.42,3,8,0,0,2,0.226,0,0.331,0,0,0,0.228,0
6,1,3,1,10,4.8,8.333333333,4,58,5,3,106,10.6,4.8,5.67,6.43,1,2,2,4,9,1.313,2.248,1.286,0,0,0,0.714,0
6,81,3,1,11.2,4.8,5.333333333,4.666666667,48,6,3,106,10.6,4.8,5,5.75,0,2,2,4,9,1.587,1.062,0.978,0,0,0,0.573,0
6,3,4,3,7.6,9.4,5.333333333,6.333333333,37,7,4,51,10.5,9.6,4.13,6.91,2,3,1,4,5,0.513,0.168,0.942,0,0,0,0.043,0
6,6,4,3,13.4,9.8,13,12.33333333,14,11,4,51,10.5,9.6,5,5,0,0,2,4,5,2.17,1.061,1.157,0,0,0,0.383,0
7,63,1,1,7,2.833333333,11.66666667,4,88,3,1,244,4.083333333,2.083333333,8,9.63,0,1,1,1,10,0,0.009,0,0,0,0,0,0
7,12,1,1,1.166666667,1.333333333,1,1.333333333,156,1,1,244,4.083333333,2.083333333,17,4.5,0,0,0,1,10,0.05,0.589,0.821,0,0,0,0.319,0
7,16,2,2,6.5,4.5,9.666666667,5,75,4,2,165,5.166666667,4.75,7.57,8.22,0,1,1,1,3,0.52,0.373,0.243,0,0,0,26.32,0
7,44,2,2,3.833333333,5,3.333333333,4.666666667,90,2,2,165,5.166666667,4.75,3.95,4.25,7,12,0,1,3,0.52,1.205,0.702,0,0,0,0.064,1
7,1,3,1,11.5,5.333333333,13,5,58,5,3,111,10.83333333,5.25,7.14,6,0,3,3,5,10,0.183,0,0.246,0,0,0,0.322,0
7,81,3,1,10.16666667,5.166666667,6.333333333,6,53,6,3,111,10.83333333,5.25,6.5,6.5,1,1,2,5,10,0.203,0.057,0.214,0,0,0,0.411,0
7,3,4,3,10,8.166666667,10,3.333333333,37,7,4,63,10.91666667,8.583333333,3.55,3.5,4,8,2,4,6,0.684,0.895,0.755,0,0,0,0.342,0
7,6,4,3,11.83333333,9,10.33333333,11.33333333,26,10,4,63,10.91666667,8.583333333,6.5,7.5,0,0,2,4,6,0.784,1.248,1.005,0,0,0,0.398,0
